Country,Type,Subtype,Class,Amount,Comment,Currency,Year,Source,SSF percentage,SSF data type,SSF Comment
Mozambique,R&D,R&D,A2,17805565,p4 instituto nacional de investigacao pesqueira - assumed half to aquaculture (=35611130 / 2),MZN,2018,Mozambique Orzamento do Estado para o Ano de 2018 Despesas Para Investimento,,na,no sector mentioned
Mozambique,Fishery Development,Development grants for fishery projects,B2,63134895,p4 fundo de fomento pesqueiro - assumed half to aquaculture (=126269790 / 2),MZN,2018,Mozambique Orzamento do Estado para o Ano de 2018 Despesas Para Investimento,,na,no sector mentioned
Mozambique,Fishery Development,Development grants for fishery projects,B2,338086030,p4 instituto nacional de desenvolvimento de pesca e aquacultura - assumed half to aquaculture (=676172060 / 2),MZN,2018,Mozambique Orzamento do Estado para o Ano de 2018 Despesas Para Investimento,,na,no sector mentioned
Mozambique,Fishery Development,Institutional support and services,B2,27956805,p4 instituto nacional de inspeccao do pescado - assumed half to aquaculture (=55913610 / 2),MZN,2018,Mozambique Orzamento do Estado para o Ano de 2018 Despesas Para Investimento,,na,no sector mentioned
Mozambique,Fishery Development,Institutional support and services,B2,2737500,p4 Escola Da Pesca - assumed half to aquaculture (=5475000 / 2),MZN,2018,Mozambique Orzamento do Estado para o Ano de 2018 Despesas Para Investimento,,na,no sector mentioned
Mozambique,Fishery Management,Fishery management programs & services,A1,5133022,taken from database,USD,2017,"OECDStat, Overseas Development Aid, Fisheries Policy & Management",,na,no sector mentioned
Mozambique,Assistance,Worker adjustment and retraining,C1,8781,taken from database,USD,2017,"OECDStat, Overseas Development Aid, Fisheries Training",78,na,based on seaaroundus.org catch data (needed extra data point here for the model)
Mozambique,Fishery Development,Development grants for fishery projects,B2,278811,taken from database,USD,2017,"OECDStat, Overseas Development Aid, Fishery Development",,na,no sector mentioned
Mozambique,Fishery Management,Fishery management programs & services,A1,308833.33,"p5 cofinancing jsdf mozambique, per year (6 year project) (=1853000 / 6)",USD,2018,SWIOFish1 World Bank Appraisal GEF Data Sheet,,na,no sector mentioned
Mozambique,Fishery Management,Fishery management programs & services,A1,1166666.67,"p5 grant amount mozambique, per year (6 year project) (=7000000 / 6)",USD,2018,SWIOFish1 World Bank Appraisal GEF Data Sheet,0,1,Grant to manage international waters assume zero benefits to SSF.
Mozambique,Fishery Management,Fishery management programs & services,A1,2030311.11,"p5 1/3 of cofinancing regional, per year (6 year project) - MINUS marketing entry, which is drawn from cofinancing so subtracted the gross number (=(43445600 / 3 / 6) - 383333.33)",USD,2018,SWIOFish1 World Bank Appraisal GEF Data Sheet,,na,no sector mentioned
Mozambique,Fishery Management,Fishery management programs & services,A1,866666.67,"p5 cofinancing ndf mozambique, per year (6 year project) (=5200000 / 6)",USD,2018,SWIOFish1 World Bank Appraisal GEF Data Sheet,,na,no sector mentioned
Mozambique,Fishery Management,Fishery management programs & services,A1,61111.11,"p5 1/3 of cofinancing dgf, per year (6 year project) (=1100000 / 6 / 3)",USD,2018,SWIOFish1 World Bank Appraisal GEF Data Sheet,,na,no sector mentioned
Mozambique,Market Infrastructure,Marketing support,B4,383333.33,"p3 1/3 of component 3, which is marketing, per year (6 year project) (=6900000 / 6 / 3)",USD,2018,SWIOFish1 World Bank Appraisal GEF Data Sheet,92,2,Mentions two objectives: 1. Small-scale fish landing site infrastructure and 2. Strengthened quality control systems -> assume 1. 100% and 2. weighted by sector size using catch data i.e 84% SSF. Therefore assume the total to SSF = 92%
